index,icme_plasma_field_start_ut,icme_plasma_field_end_ut,MO_datestart,shock,MOclass,meanB,meanVsw,Vexp,save_name,DST,DST_note,DiP
121,2001-03-20 18:17:00,2001-03-22 00:00:48,2001-03-20T18:17:00.000Z,False,Fr,13.06233255,339.9480002934,47.58979194,WI_20010320_079,-134.0,,
122,2001-03-27 01:59:00,2001-03-28 14:23:00,2001-03-27T01:59:00.000Z,True,Cx,13.7499101616,516.3315030097,-147.1642736011,WI_20010327_086,-56.0,,
123,2001-04-04 14:39:00,2001-04-05 08:22:48,2001-04-04T20:54:00.000Z,True,F-,10.3003595778,739.5564827828,53.1302169082,WI_20010404_094,-50.0,,
124,2001-04-11 14:09:00,2001-04-12 17:58:48,2001-04-11T22:48:00.000Z,True,F-,18.7319438754,664.0357673197,51.1194699231,WI_20010411_101,-271.0,,
125,2001-04-13 07:26:00,2001-04-14 01:39:48,2001-04-13T13:11:00.000Z,False,F-,8.1491397984,763.5905420994,78.460861507,WI_20010413_103,-77.0,,
126,2001-04-21 15:29:00,2001-04-23 01:11:12,2001-04-22T00:28:00.000Z,True,Fr,12.0461066398,357.9186587534,29.6134689038,WI_20010421_111,-102.0,,
127,2001-04-28 05:00:00,2001-05-02 04:48:12,2001-04-28T17:59:00.000Z,True,Cx,6.3070663584,504.7153606595,168.3206058644,WI_20010428_118,-47.0,,
128,2001-05-27 14:45:00,2001-05-29 21:34:48,2001-05-28T07:12:00.000Z,True,Cx,8.329582584,452.0098648701,64.9599061499,WI_20010527_147,-42.0,,
129,2001-06-27 05:59:00,2001-06-29 02:23:00,2001-06-27T05:59:00.000Z,False,Cx,3.0518197813,403.7576070217,27.9447707115,WI_20010627_178,-16.0,,
130,2001-08-05 12:28:00,2001-08-06 23:59:12,2001-08-06T06:43:00.000Z,False,E,8.1706764219,440.471948362,-5.2929089371,WI_20010805_217,-40.0,,
131,2001-08-17 11:01:00,2001-08-18 19:12:12,2001-08-17T23:59:00.000Z,True,F-,14.1513645787,533.3207950445,64.5470051369,WI_20010817_229,-105.0,,
132,2001-09-25 20:16:00,2001-09-26 16:47:48,2001-09-26T10:04:00.000Z,True,F-,14.1227498822,639.3006405669,-5.9216408968,WI_20010925_268,-102.0,,
133,2001-09-29 09:28:00,2001-09-30 19:14:00,2001-09-29T14:23:00.000Z,True,Cx,11.1332698546,567.9109395141,124.6826261258,WI_20010929_272,-55.0,,
134,2001-09-30 19:14:00,2001-10-01 21:34:48,2001-09-30T22:33:00.000Z,True,F-,11.5755119122,505.7585335695,15.3450186112,WI_20010930_273,-148.0,,
135,2001-10-21 16:39:00,2001-10-23 00:47:00,2001-10-22T01:17:00.000Z,True,Fr,14.7809428059,578.3134689224,89.4452745762,WI_20011021_294,-187.0,,
136,2001-10-28 03:13:00,2001-10-30 10:47:12,2001-10-29T16:19:00.000Z,True,E,6.1355220822,381.6527222669,13.1785794881,WI_20011028_301,-157.0,,
137,2001-10-31 13:46:00,2001-11-02 04:47:12,2001-10-31T22:04:00.000Z,True,Fr,11.1995561699,341.0165085868,41.9232673666,WI_20011031_304,-106.0,,
138,2001-11-24 05:51:00,2001-11-25 13:17:00,2001-11-24T15:47:00.000Z,True,Fr,16.2856507904,745.9014006751,151.7715690048,WI_20011124_328,-221.0,,
139,2001-12-29 05:16:00,2001-12-30 19:10:48,2001-12-30T03:24:00.000Z,True,Fr,17.0753299306,401.1155680284,-25.196447915,WI_20011229_363,-58.0,,
140,2001-12-30 20:05:00,2001-12-31 07:46:00,2001-12-30T23:10:00.000Z,True,F-,12.8342216033,629.489958421,150.4130733993,WI_20011230_364,-31.0,,
141,2002-02-28 05:06:00,2002-03-01 23:15:48,2002-02-28T19:11:00.000Z,True,Fr,10.1366905954,383.2402220231,7.4552390924,WI_20020228_059,-71.0,,
142,2002-03-18 13:14:00,2002-03-20 15:36:12,2002-03-19T06:14:00.000Z,True,Fr,14.9126219152,383.6190432916,-21.2135605251,WI_20020318_077,-37.0,,
143,2002-03-23 11:24:00,2002-03-25 21:36:12,2002-03-24T13:11:00.000Z,True,Fr,15.3520922357,436.8347724276,10.0300390721,WI_20020323_082,-100.0,,
144,2002-04-14 12:56:00,2002-04-15 04:22:12,2002-04-14T15:21:00.000Z,True,F-,9.9822981013,396.4518733349,12.7982926493,WI_20020414_104,-14.0,,
145,2002-04-17 11:01:00,2002-04-19 08:22:48,2002-04-17T21:36:00.000Z,True,F+,11.7455569225,489.7614906112,72.961634257,WI_20020417_107,-127.0,,
146,2002-04-19 08:24:00,2002-04-21 21:36:00,2002-04-20T06:57:00.000Z,True,Fr,6.8828958983,505.8511831811,92.7366841022,WI_20020419_109,-149.0,,
147,2002-04-23 05:00:00,2002-04-24 23:59:00,2002-04-24T07:11:00.000Z,True,F-,7.180615005,490.2449206256,3.2372959503,WI_20020423_113,-57.0,,
148,2002-05-10 11:09:00,2002-05-11 10:36:12,2002-05-10T22:20:00.000Z,True,Fr,6.8372387899,353.0421118686,23.2665762379,WI_20020510_130,-14.0,,
149,2002-05-11 10:30:00,2002-05-11 20:23:12,2002-05-11T12:37:00.000Z,True,Fr,17.4188444052,436.9122775037,11.7365066389,WI_20020511_131,-110.0,,
150,2002-05-18 19:45:00,2002-05-20 03:34:12,2002-05-19T03:30:00.000Z,True,Fr,11.1965920055,455.0690600777,35.8476942175,WI_20020518_138,-58.0,,
151,2002-05-20 03:35:00,2002-05-21 21:35:00,2002-05-20T16:47:00.000Z,True,Cx,6.1320246646,421.1855771378,44.8383578527,WI_20020520_140,-36.0,,
152,2002-05-23 10:44:00,2002-05-25 19:12:12,2002-05-23T23:02:00.000Z,True,F-,10.1456602843,582.4081745311,244.1372692859,WI_20020523_143,-109.0,,
153,2002-07-17 15:56:00,2002-07-19 09:35:00,2002-07-18T13:26:00.000Z,True,Fr,9.5839184685,436.4429200174,36.4802333614,WI_20020717_198,-17.0,,
154,2002-08-01 05:12:00,2002-08-01 23:15:48,2002-08-01T12:14:00.000Z,True,Fr,12.0071896333,453.7468739922,15.2265003896,WI_20020801_213_A,-51.0,,
